object,level,seed,regime,policy,budget,n_improved,E_run
obj_03_pumpkin,0.2,6,100,random48_4,0.6,48,0.00449774522
obj_03_pumpkin,0.2,6,100,random48_4,0.8,48,0.00449774522
obj_03_pumpkin,0.2,7,10,random48_0,0.1,14,0.321381047
obj_03_pumpkin,0.2,7,10,random48_0,0.2,28,0.164137036
obj_03_pumpkin,0.2,7,10,random48_0,0.4,48,0.0376337674
obj_03_pumpkin,0.2,7,10,random48_0,0.6,48,0.0376337674
obj_03_pumpkin,0.2,7,10,random48_0,0.8,48,0.0376337674
obj_03_pumpkin,0.2,7,10,random48_1,0.1,14,0.356726585
obj_03_pumpkin,0.2,7,10,random48_1,0.2,28,0.177141875
obj_03_pumpkin,0.2,7,10,random48_1,0.4,48,0.0376337674
obj_03_pumpkin,0.2,7,10,random48_1,0.6,48,0.0376337674
obj_03_pumpkin,0.2,7,10,random48_1,0.8,48,0.0376337674
obj_03_pumpkin,0.2,7,10,random48_2,0.1,14,0.18837266
obj_03_pumpkin,0.2,7,10,random48_2,0.2,28,0.16062232
obj_03_pumpkin,0.2,7,10,random48_2,0.4,48,0.0376337674
obj_03_pumpkin,0.2,7,10,random48_2,0.6,48,0.0376337674
obj_03_pumpkin,0.2,7,10,random48_2,0.8,48,0.0376337674
obj_03_pumpkin,0.2,7,10,random48_3,0.1,14,0.22472857
obj_03_pumpkin,0.2,7,10,random48_3,0.2,28,0.104830339
obj_03_pumpkin,0.2,7,10,random48_3,0.4,48,0.0376337674
obj_03_pumpkin,0.2,7,10,random48_3,0.6,48,0.0376337674
obj_03_pumpkin,0.2,7,10,random48_3,0.8,48,0.0376337674
obj_03_pumpkin,0.2,7,10,random48_4,0.1,14,0.190225984
obj_03_pumpkin,0.2,7,10,random48_4,0.2,28,0.127308301
obj_03_pumpkin,0.2,7,10,random48_4,0.4,48,0.0376337674
obj_03_pumpkin,0.2,7,10,random48_4,0.6,48,0.0376337674
obj_03_pumpkin,0.2,7,10,random48_4,0.8,48,0.0376337674
obj_03_pumpkin,0.2,7,100,random48_0,0.1,14,0.106080543
obj_03_pumpkin,0.2,7,100,random48_0,0.2,28,0.0780026313
obj_03_pumpkin,0.2,7,100,random48_0,0.4,48,0.00367171031
