object_id,level,ctype,q,T_ol,P_mode,P_trace,P_logdet,P_emin,P_corr
obj_17_pumpkin5,0.2,joint,1200,1485.8794881766307,0.98738867135127,0.0020552185803778267,0.0051509035334333245,0.9873886713512682,0.2
obj_17_pumpkin5,0.35,joint,1200,2961.964937328236,0.9955279382780536,0.002190055961102999,0.006195305739862022,0.9955279382780539,0.35
obj_17_pumpkin5,0.5,joint,1200,8592.390536845409,0.9977268889198061,0.002304140505886343,0.006925741155869644,0.9977268889198065,0.5
obj_17_pumpkin5,0.75,joint,1200,9990.891334780932,0.9989588837395499,0.002495004373736287,0.007878462817993662,0.9989588837395502,0.75
obj_17_pumpkin5,1.0,joint,1200,11518.84195004957,0.9994055585978648,0.002678073652713664,0.008662301342464632,0.9994055585978648,1.0
obj_18_fabric_hat,0.1,joint,1200,368.0868961115646,0.8284970531553546,0.0014335017730354727,0.0023472423742775246,0.8284970531553547,0.1
obj_18_fabric_hat,0.2,joint,1200,884.111439138705,0.941969492954279,0.001764069807622004,0.003582713427110462,0.9419694929542793,0.2
obj_18_fabric_hat,0.35,joint,1200,3377.0408129141742,0.9779339985816294,0.0019326906712133773,0.004586135787748087,0.9779339985816293,0.35
obj_18_fabric_hat,0.5,joint,1200,4207.67211539124,0.9884250587244559,0.0020240070056093407,0.005238496205348062,0.9884250587244551,0.5
obj_18_fabric_hat,0.75,joint,1200,5763.839584240208,0.9945370740509712,0.00214084048285601,0.006019909367300422,0.9945370740509724,0.75
obj_18_fabric_hat,1.0,joint,1200,4849.055358913978,0.9968163962833694,0.002246598352916962,0.0066212347054455225,0.9968163962833689,1.0
obj_19_cylinder,0.1,joint,1200,254.51687278985696,0.7592684320546628,0.0013659684398635852,0.002086262792177464,0.7592684320546628,0.1
obj_19_cylinder,0.2,joint,1200,2212.3537741389678,0.920937559748713,0.0017377168596306447,0.00340970313269948,0.9209375597487126,0.2
obj_19_cylinder,0.35,joint,1200,1840.1461658946407,0.9712941258716796,0.0018851010444764782,0.004440655962184219,0.9712941258716792,0.35
obj_19_cylinder,0.5,joint,1200,5584.2825895279575,0.9853166265589158,0.0019436842763165263,0.005079960331909558,0.9853166265589156,0.5
obj_19_cylinder,0.75,joint,1200,4397.625882927453,0.993229349731547,0.0020025475294960238,0.005813465598114731,0.9932293497315471,0.75
obj_19_cylinder,1.0,joint,1200,6403.860140154797,0.9961109780848033,0.0020525067513667006,0.0063572038087005515,0.9961109780848026,1.0
